Site,CH4,N2O,CO2,Elevation,Slope,Aspect,Insolation,EAC,DFC,GTC,UAA,TWI,Bulk Density,C g,Ng,C.N,NDVI,AvgVWC,AvgTemp
NWC-4,-65.22138975,-2.07305914,17760078.48,2330.26001,28.7756004,0.701850043,711.127,126.5360031,711.1270142,0.177937,10667.5,8.9354095,0.719879668,8.744365375,0.3171905,32.13609871,0.407185629,10.04615385,9.245238095
NWC-5,-131.3694877,9.096137301,30404798.96,2348.02002,28.4543991,0.642483351,808.407,144.2960052,808.4069824,0.178494,4343.290039,8.1228104,0.739152686,3.545498125,0.096224375,42.95138666,0.404255319,7.915384615,9.566666667
NWC-6,-170.6550952,-2.693088701,19294632.01,2385.419922,16.1513996,0.731311035,931.544,181.701004,931.5440063,0.195054,1320.109985,7.4865499,0.777898442,6.418857,0.225906375,33.12182377,0.56,13.44166667,10.16410256
NWD-1,-82.77687011,1.857396141,21788931.94,2274.870117,8.4587097,0.599211121,676.396,57.1549988,676.3959961,0.0844993,949.473999,7.98558,0.885947174,2.12925,0.115334375,21.52052777,0.532808399,20.27857143,10.37333333
NWD-2,-122.3113848,7.020134131,21773638.79,2276.929932,19.4792995,0.609738837,686.396,59.2099991,686.3959961,0.086262,1310.810059,7.5120502,0.908515578,6.38670825,0.263838375,28.21786442,0.381294964,14.06,10.57916667
NWD-5,-151.8788734,10.41477544,14217997.4,2312.360107,10.2693005,0.582783339,958.529,94.6439972,958.5289917,0.0987389,625.1619873,7.0254798,0.808954963,3.523880625,0.129614,31.69233972,0.498412698,10.60666667,9.358333333
NWD-6,-227.1353588,NaN,17766391.35,2319.070068,15.2024002,0.577316623,1009.24,101.3509979,1009.23999,0.100423,1939.859985,7.9232202,0.599747853,3.8677835,0.10810575,41.70598575,0.497237569,11.08,9.04375
SW-2,-43.38911077,32.40348215,22996852.95,2263.469971,6.7684202,0.110277812,978.187,45.7518997,548.7009888,0.0833824,6318.379883,10.0726004,0.655369982,4.58088675,0.164071875,32.54621149,0.56993737,19.71538462,12.09761905
SW-3,-133.3433566,14.64006623,24900078.39,2271.73999,13.8172998,0.242305586,982.562,54.0238991,608.4069824,0.0887958,1467.140015,7.2918801,0.473924006,4.24281225,0.147122125,33.617147,0.565543071,15.56923077,12.06428571
SW-4,-146.1962276,10.8770892,22260648.27,2283.469971,25.6982002,0.191933357,1004.41,65.75,629.1170044,0.104511,1099.920044,6.8406301,0.640091372,6.6919095,0.185886375,41.96502914,0.577702703,12.53076923,11.18095238
SW-5,-193.7029047,11.33602003,16670946.05,2289.669922,14.8914003,0.118399981,996.627,71.9499969,647.4019775,0.111137,670.6870117,6.9161,1.035038446,1.274879625,0.06218925,23.89675271,0.549132948,13.96153846,11.22619048
SW-6,-97.22060314,11.18355694,15918381.26,2295.229981,12.1711998,0.010466682,996.424,98.4228973,1258.939941,0.0781789,318.3380127,6.1427002,0.830712003,7.39536875,0.24124375,35.73458899,0.439588689,12.92307692,10.88571429
T1E3,-181.7777017,-6.328145854,13912905.17,2184.27002,29.7502003,0.498316617,916.894,4.97998,24.1420994,0.206278,2964.26001,7.5760598,0.8891427,4.5231685,0.213693,24.67388288,0.509433962,16.18571429,9.833333333
T1E4,-96.96207233,2.326622571,20112021.27,2191,18.8911991,0.489172194,940.943,13.0002003,80.710701,0.161072,3471.129883,7.6262598,0.724373377,4.584449,0.166839125,32.03127828,0.58490566,12.84285714,9.502380952
T1W3,-70.27096787,-2.322081581,30804712.62,2183.419922,21.0203991,0.278866662,977.729,4.1289101,28.2842999,0.145979,1563.910034,7.44664,0.757427102,3.580061,0.19720675,21.1618523,0.695800227,14.45,11.13555556
T1W4,-94.04361518,-3.644742097,24057533.03,2191.629883,15.0691004,0.305572213,972.368,12.3430004,70.710701,0.174557,1445.709961,7.6424699,0.946063012,3.912710375,0.151582,30.08950874,0.462962963,13.82142857,10.89333333
T2E3,-145.3166991,1.716229127,27198673.01,2174.229981,26.8264999,0.674283346,860.043,5.10181,24.1420994,0.211324,1104.300049,6.01896,0.573784202,6.590518625,0.2528185,30.38755582,0.566084788,15.40714286,8.271428571
T2E4,-102.3666192,7.216582589,25854417.8,2179.659912,18.0547009,0.590205553,925.355,10.5249004,62.4263992,0.168597,3628.560059,8.4564896,0.602643799,4.01922675,0.114662625,40.86068627,0.475783476,15.23846154,8.614285714
